Rssi,Riding
-57,1
-65,1
-64,1
-66,1
-60,1
-67,1
-66,1
-64,1
-55,1
-69,1
-61,1
-68,1
-54,1
-67,1
-61,1
-70,1
-67,1
-68,1
-64,1
-67,1
-69,1
-67,1
-67,1
-54,1
-55,1
-68,1
-71,1
-66,1
-58,1
-74,1
-65,1
-57,1
-64,1
-54,1
-53,1
-65,1
-66,1
-54,1
-66,1
-68,1
-53,1
-66,1
-53,1
-65,1
-56,1
-64,1
-67,1
-60,1
-67,1
-60,1
-66,1
-62,1
-67,1
-69,1
-69,1
-56,1
-68,1
-68,1
-55,1
-71,1
-54,1
-56,1
-68,1
-62,1
-69,1
-68,1
-69,1
-68,1
-68,1
-68,1
-68,1
-69,1
-57,1
-70,1
-64,1
-68,1
-72,1
-69,1
-63,1
-67,1
-75,1
-56,1
-69,1
-59,1
-61,1
-67,1
-57,1
-56,1
-55,1
-69,1
-64,1
-69,1
-67,1
-68,1
-61,1
-69,1
-66,1
-65,1
-78,1
-53,1
-70,1
-60,1
-67,1
-64,1
-57,1
-65,1
-52,1
-68,1
-68,1
-65,1
-66,1
-54,1
-67,1
-66,1
-69,1
-65,1
-66,1
-65,1
-57,1
-55,1
-70,1
-58,1
-68,1
-54,1
-74,1
-65,1
-68,1
-67,1
-55,1
-59,1
-67,1
-54,1
-69,1
-61,1
-70,1
-52,1
-77,1
-57,1
-64,1
-54,1
-63,1
-59,1
-67,1
-63,1
-65,1
-54,1
-58,1
-71,1
-59,1
-54,1
-59,1
-70,1
-68,1
-67,1
-54,1
-53,1
-58,1
-64,1
-73,1
-65,1
-54,1
-68,1
-69,1
-65,1
-54,1
-68,1
-69,1
-67,1
-54,1
-72,1
-56,1
-67,1
-69,1
-72,1
-78,1
-62,1
-73,1
-70,1
-65,1
-56,1
-71,1
-72,1
-66,1
-57,1
-55,1
-63,1
-77,1
-65,1
-62,1
-62,1
-68,1
-69,1
-63,1
-58,1
-69,1
-63,1
-68,1
-53,1
-68,1
-63,1
-62,1
-52,1
-70,1
-64,1
-64,1
-56,1
-52,1
-74,1
-68,1
-73,1
-61,1
-69,1
-58,1
-69,1
-73,1
-71,1
-54,1
-63,1
-75,1
-55,1
-59,1
-72,1
-65,1
-76,1
-65,1
-56,1
-65,1
-63,1
-53,1
-58,1
-64,1
-79,1
-55,1
-68,1
-59,1
-55,1
-61,1
-64,1
-81,0
-85,0
-76,0
-76,0
-75,0
-67,0
-78,0
-77,0
-84,0
-82,0
-77,0
-78,0
-78,0
-82,0
-82,0
-76,0
-76,0
-88,0
-84,0
-78,0
-69,0
-84,0
-68,0
-83,0
-80,0
-76,0
-70,0
-71,0
-81,0
-77,0
-78,0
-85,0
-72,0
-73,0
-79,0
-82,0
-81,0
-82,0
-81,0
-82,0
-77,0
-81,0
-76,0
-82,0
-72,0
-80,0
-78,0
-76,0
-76,0
-75,0
-78,0
-79,0
-64,0
-76,0
-78,0
-77,0
-76,0
-67,0
-78,0
-83,0
-80,0
-83,0
-73,0
-79,0
-77,0
-67,0
-75,0
-67,0
-87,0
-85,0
-82,0
-69,0
-81,0
-71,0
-84,0
-88,0
-79,0
-84,0
-78,0
-80,0
-79,0
-81,0
-84,0
-77,0
-78,0
-79,0
-79,0
-67,0
-67,0
-75,0
-86,0
-61,0
-75,0
-83,0
-77,0
-81,0
-76,0
-76,0
-80,0
-73,0
-86,0
-69,0
-68,0
-77,0
-76,0
-75,0
-64,0
-79,0
-73,0
-75,0
-75,0
-85,0
-68,0
-73,0
-81,0
-70,0
-79,0
-69,0
-85,0
-83,0
-72,0
-83,0
-78,0
-87,0
-73,0
-78,0
-78,0
-76,0
-77,0
-84,0
-80,0
-81,0
-76,0
-56,0
-76,0
-76,0
-73,0
-85,0
-72,0
-80,0
-86,0
-73,0
-73,0
-86,0
-75,0
-71,0
-84,0
-68,0
-91,0
-80,0
-76,0
-81,0
-81,0
-72,0
-86,0
-70,0
-80,0
-84,0
-72,0
-68,0
-78,0
-83,0
-77,0
-81,0
-76,0
-90,0
-85,0
-83,0
-70,0
-69,0
-76,0
-77,0
-75,0
-79,0
-66,0
-83,0
-78,0
-81,0
-67,0
-84,0
-71,0
-75,0
-76,0
-88,0
-81,0
-79,0
-79,0
-72,0
-82,0
-70,0
-91,0
-82,0
-74,0
-78,0
-82,0
-79,0
-81,0
-82,0
-66,0
-85,0
-83,0
-85,0
-78,0
-67,0
-80,0
-83,0
-73,0
-71,0
-85,0
-81,0
-70,0
-88,0
-88,0
-68,0
-80,0
-76,0
-83,0
-80,0
-88,0
-76,0
-70,0
-76,0
-69,0
-83,0
-74,0
-80,0
-80,0
-78,0
-76,0
-66,0
-79,0
-92,0
-75,0
-82,0
-79,0
-64,0
-77,0
-73,0
-84,0
-79,0
-76,0
-81,0
-69,0
-66,0
-83,0
-84,0
-81,0
-81,0
-77,0
-78,0
-69,0
-75,0
-75,0
-76,0
-86,0
-77,0
-74,0
-83,0
-75,0
-79,0
-77,0
-73,0
-75,0
-87,0
-76,0
-75,0
-90,0
-76,0
-82,0
-80,0
-81,0
-78,0
-83,0
-68,0
-66,0
-79,0
-91,0
-81,0
-81,0
-76,0
-79,0
-79,0
-80,0
-75,0
-72,0
-71,0
-67,0
-71,0
-68,0
-78,0
-75,0
-75,0
-73,0
-66,0
-74,0
-76,0
-76,0
-84,0
-87,0
-67,0
-81,0
-81,0
-80,0
-77,0
-92,0
-82,0
-80,0
-93,0
-66,0
-78,0
-72,0
-79,0
-77,0
-78,0
-82,0
-92,0
-91,0
-83,0
-83,0
-78,0
-79,0
-78,0
-83,0
-74,0
-72,0
-78,0
-69,0
-81,0
-75,0
-82,0
-74,0
-70,0
-84,0
-78,0
-84,0
-65,0
-77,0
-74,0
-77,0
-78,0
-73,0
-93,0
-79,0
